intersect tests
8388607,1,0.0900885
16777214,2,0.15675
33554428,4,0.229056
50331642,6,0.379714
16777215,1,0.15359
33554430,2,0.246643
67108860,4,0.385473
100663290,6,0.576742
33554431,1,0.282944
67108862,2,0.42976
134217724,4,0.629134
201326586,6,0.912324
67108863,1,0.538454
134217726,2,0.888975
268435452,4,1.12357
402653178,6,1.66981
134217727,1,1.05116
268435454,2,1.73005
536870908,4,2.17945
805306362,6,3.18065
268435455,1,oom
536870910,2,oom
1073741820,4,oom
1610612730,6,oom
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
