strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.00904909
16777216,2,0.012671
16777216,4,0.0147302
16777216,8,0.0272118
16777216,16,0.0798966
33554432,1,0.0215378
33554432,2,0.0238264
33554432,4,0.0237189
33554432,8,0.0307313
33554432,16,0.102224
67108864,1,0.061697
67108864,2,0.0517632
67108864,4,0.0421304
67108864,8,0.0484874
67108864,16,0.111248
134217728,1,0.154036
134217728,2,0.130718
134217728,4,0.0806298
134217728,8,0.0848169
134217728,16,0.126216
268435456,1,0.400805
268435456,2,0.236055
268435456,4,0.186377
268435456,8,0.146209
268435456,16,0.194962
536870912,1,0.94888
536870912,2,0.762158
536870912,4,0.435002
536870912,8,0.311005
536870912,16,0.318592
1073741824,1,oom
1073741824,2,1.29818
1073741824,4,1.0278
1073741824,8,0.664478
1073741824,16,0.564344
2147483648,1,oom
2147483648,2,oom
2147483648,4,2.29752
2147483648,8,1.47168
2147483648,16,1.11792
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,4.0154
4294967296,16,
8589934592,1,oom
8589934592,2,oom
