intersect tests
8388608,1,0.022142
8388608,2,0.0409108
8388608,4,0.0521513
8388608,8,0.083199
8388608,16,0.26762
16777216,1,0.0470559
16777216,2,0.0745165
16777216,4,0.0828488
16777216,8,0.113052
16777216,16,0.266994
33554432,1,0.101058
33554432,2,0.141326
33554432,4,0.146054
33554432,8,0.179982
33554432,16,0.293961
67108864,1,0.246503
67108864,2,0.296507
67108864,4,0.277441
67108864,8,0.299949
67108864,16,0.43827
134217728,1,0.576289
134217728,2,0.663182
134217728,4,0.550988
134217728,8,0.548909
134217728,16,0.679544
268435456,1,oom
268435456,2,1.27134
268435456,4,1.16239
268435456,8,1.0495
268435456,16,1.14873
536870912,1,oom
536870912,2,oom
536870912,4,2.48764
536870912,8,2.11424
536870912,16,2.17216
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,8,4.28807
1073741824,16,4.13363
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,oom
2147483648,16,8.21929
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,oom
